brand_model,brand,model,mileage,fuel,gear,offer_type,price,hp,year,age
Ford EcoSport,Ford,EcoSport,11064,Gasoline,Manual,Used,16950,125.0,2020,3
Ford EcoSport,Ford,EcoSport,18094,Gasoline,Manual,Used,17550,125.0,2020,3
Ford EcoSport,Ford,EcoSport,10518,Gasoline,Manual,Used,17550,125.0,2020,3
Mazda 2,Mazda,2,20,Gasoline,Manual,Pre-registered,17750,90.0,2020,3
Ford Focus,Ford,Focus,31715,Diesel,Automatic,Used,17950,120.0,2020,3
Ford Focus,Ford,Focus,6052,Gasoline,Manual,Used,18350,125.0,2020,3
Ford Fiesta,Ford,Fiesta,8214,Electric,Manual,Employee's car,18450,125.0,2020,3
Ford Puma,Ford,Puma,945,Gasoline,Manual,Employee's car,19990,125.0,2020,3
Ford EcoSport,Ford,EcoSport,10567,Gasoline,Manual,Employee's car,20550,140.0,2020,3
Ford Puma,Ford,Puma,9357,Gasoline,Manual,Employee's car,21430,125.0,2020,3
Ford Fiesta,Ford,Fiesta,2264,Gasoline,Manual,Employee's car,21450,155.0,2020,3
Mitsubishi Space Star,Mitsubishi,Space Star,4500,Gasoline,Manual,Used,9450,71.0,2020,3
Fiat 500,Fiat,500,5,Gasoline,Manual,Pre-registered,11289,69.0,2020,3
smart forFour,smart,forFour,2000,Electric,Automatic,Employee's car,12990,82.0,2020,3
Fiat 500C,Fiat,500C,9775,Electric,Manual,Used,14484,69.0,2020,3
Fiat 500,Fiat,500,5,Electric,Manual,Pre-registered,15337,69.0,2020,3
Ford Mondeo,Ford,Mondeo,13640,Gasoline,Automatic,Used,28500,188.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,4000,Gasoline,Manual,Used,28500,150.0,2020,3
Volkswagen Touran,Volkswagen,Touran,21186,Gasoline,Automatic,Employee's car,28550,150.0,2020,3
Volkswagen Golf Variant,Volkswagen,Golf Variant,9761,Gasoline,Automatic,Used,28550,150.0,2020,3
Skoda Superb,Skoda,Superb,19801,Gasoline,Automatic,Employee's car,28600,190.0,2020,3
Volkswagen Golf,Volkswagen,Golf,13650,Gasoline,Automatic,Demonstration,28663,150.0,2020,3
Hyundai Tucson,Hyundai,Tucson,3300,Gasoline,Automatic,Demonstration,28695,177.0,2020,3
Volkswagen Touran,Volkswagen,Touran,6844,Diesel,Automatic,Used,28725,116.0,2020,3
Volkswagen Golf Sportsvan,Volkswagen,Golf Sportsvan,8200,Diesel,Automatic,Used,28780,150.0,2020,3
Opel Insignia,Opel,Insignia,856,Diesel,Manual,Used,28850,174.0,2020,3
Volkswagen T-Roc,Volkswagen,T-Roc,12997,Gasoline,Automatic,Employee's car,28855,190.0,2020,3
